model,listing_price,trim,mileage,transmission,color,car_body,car_engine,car_make,car_age
Polo,10850,1.2L beats BlueMotion Tech TSI,41195,Manual,Black,5 door Hatchback,1.2L,Volkswagen,5.0
B Class,10850,1.5L Sport B180d,59057,Manual,Black,5 door MPV,1.5L,Mercedes-Benz,6.0
Juke,10850,1.2L Tekna DIG-T,28178,Manual,Silver,5 door SUV,1.2L,Nissan,5.0
Fiesta,10850,1L Titanium EcoBoost T,47076,Manual,Grey,5 door Hatchback,1L,Ford,4.0
DS 4 CROSSBACK,10850,1.2L PureTech,30446,Manual,Black,5 door Hatchback,1.2L,DS,6.0
Astra,10850,1.4L SRi i Turbo,13871,Manual,Silver,5 door Hatchback,1.4L,Vauxhall,5.0
Picanto,10850,1L GT-Line S T-GDi,20688,Manual,White,5 door Hatchback,1L,Kia,4.0
B-Max,10850,1.5L Titanium Navigator TDCi,10190,Manual,Black,5 door MPV,1.5L,Ford,4.0
C3,10850,1.2L Flair Nav Edition PureTech,11609,Manual,Black,5 door Hatchback,1.2L,Citroen,3.0
308,10800,1.2L GT Line PureTech,53615,Automatic,Black,5 door Hatchback,1.2L,Peugeot,7.0
Hatch,10800,1.5L Cooper,32842,Manual,White,5 door Hatchback,1.5L,Mini,7.0
Fiesta,10800,1L ST-Line EcoBoost T,26578,Manual,Black,3 door Hatchback,1L,Ford,5.0
Astra,10800,1L Tech Line Nav ecoTEC i Turbo,14797,Manual,Silver,5 door Hatchback,1L,Vauxhall,5.0
Fabia,10800,1L Colour Edition TSI,31242,Manual,Blue,5 door Hatchback,1L,Skoda,3.0
Corsa,10800,1.4L SRi VX Line Nav Black ecoTEC i,28032,Manual,Black,5 door Hatchback,1.4L,Vauxhall,3.0
Corsa,10800,1.2L SE Nav,52794,Manual,Grey,5 door Hatchback,1.2L,Vauxhall,2.0
Astra,10800,1.4L SRi i Turbo,31174,Manual,Blue,5 door Hatchback,1.4L,Vauxhall,4.0
Juke,10800,1.6L Tekna,47421,Automatic,Other,5 door SUV,1.6L,Nissan,6.0
Juke,10800,1.2L N-Connecta DIG-T,27201,Manual,Red,5 door SUV,1.2L,Nissan,5.0
Focus,10800,1L ST-Line EcoBoost T,52331,Manual,Silver,5 door Hatchback,1L,Ford,5.0
A3,10800,1.6L Sport TDI,54971,Manual,White,5 door Hatchback,1.6L,Audi,7.0
Clio,10800,0.9L Iconic TCe,15939,Manual,Black,5 door Hatchback,0.9L,Renault,3.0
Juke,10800,1.2L Tekna DIG-T,23065,Manual,Other,5 door SUV,1.2L,Nissan,6.0
308,10800,1.6L GT Line BlueHDi,30692,Manual,Blue,5 door Hatchback,1.6L,Peugeot,6.0
Qashqai,10800,1.5L N-Connecta dCi,60297,Manual,Grey,5 door SUV,1.5L,Nissan,5.0
208,10800,1.2L GT Line PureTech,18149,Automatic,Blue,5 door Hatchback,1.2L,Peugeot,6.0
i10,10800,1.2L SE,19502,Automatic,White,5 door Hatchback,1.2L,Hyundai,4.0
MG3,10800,1.5L Exclusive VTi-TECH,6280,Manual,White,5 door Hatchback,1.5L,MG,1.0
Juke,10750,1.2L N-Connecta DIG-T,30742,Manual,Silver,5 door SUV,1.2L,Nissan,5.0
AYGO,10750,1L x-trend VVT-i,11184,Manual,Grey,5 door Hatchback,1L,Toyota,3.0
108,10750,1L Allure,4301,Manual,Grey,5 door Hatchback,1L,Peugeot,2.0
Mokka,10750,1.6L SE CDTi,43580,Automatic,Red,5 door SUV,1.6L,Vauxhall,6.0
Jazz,10750,1.3L SE i-VTEC,17403,Manual,Red,5 door Hatchback,1.3L,Honda,5.0
Juke,10750,1.5L N-Connecta dCi,40676,Manual,White,5 door SUV,1.5L,Nissan,4.0
Fiesta,10750,1L Titanium EcoBoost T,63813,Manual,Blue,5 door Hatchback,1L,Ford,2.0
Fiesta,10750,1L Titanium EcoBoost T,59690,Manual,White,5 door Hatchback,1L,Ford,3.0
Mokka X,10750,1.4L Design Nav ecoTEC i Turbo,37632,Manual,White,5 door SUV,1.4L,Vauxhall,4.0
Qashqai,10750,1.5L N-Connecta dCi,65611,Manual,White,5 door SUV,1.5L,Nissan,6.0
Ceed,10750,1.6L 2 EcoDynamics CRDi,19091,Manual,Silver,5 door Estate,1.6L,Kia,7.0
Fiesta,10750,1L Zetec EcoBoost T,32290,Manual,Blue,5 door Hatchback,1L,Ford,4.0
Astra,10750,1.4L SRi i Turbo,29558,Manual,Red,5 door Hatchback,1.4L,Vauxhall,4.0
Kadjar,10750,1.5L Dynamique S Nav dCi,47262,Manual,Grey,5 door SUV,1.5L,Renault,6.0
Mokka,10750,1.4L Exclusiv i Turbo,36070,Automatic,Silver,5 door SUV,1.4L,Vauxhall,6.0
Clio,10750,0.9L Iconic TCe,20335,Manual,Grey,5 door Hatchback,0.9L,Renault,3.0
Fiesta,10750,1.1L Zetec Ti-VCT,22457,Manual,Blue,5 door Hatchback,1.1L,Ford,4.0
i30,10750,1.6L SE Blue Drive CRDi,41043,Manual,Black,5 door Hatchback,1.6L,Hyundai,4.0
Fiesta,10750,1.6L ST-2 EcoBoost T,39269,Manual,White,3 door Hatchback,1.6L,Ford,7.0
i40,10750,1.7L SE Nav Business Blue Drive CRDi,58074,Automatic,Blue,4 door Saloon,1.7L,Hyundai,7.0
i30,10750,1L S Blue Drive T-GDi,23621,Manual,Black,5 door Hatchback,1L,Hyundai,4.0
Corsa,10750,1.4L SRi VX Line Nav Black ecoTEC i,22372,Manual,Black,5 door Hatchback,1.4L,Vauxhall,3.0
forfour,10750,1L Edition Black,13301,Automatic,Black,5 door Hatchback,1L,Smart,6.0
Fiesta,10750,1L Titanium X EcoBoost T,17004,Manual,Silver,5 door Hatchback,1L,Ford,6.0
Clio,10750,0.9L Iconic TCe,14054,Manual,White,5 door Hatchback,0.9L,Renault,3.0
Astra,10750,1L SRi ecoTEC i Turbo,38216,Manual,White,5 door Hatchback,1L,Vauxhall,4.0
Fabia,10750,1L SE L TSI,21026,Manual,Red,5 door Hatchback,1L,Skoda,4.0
Juke,10750,1.2L Tekna DIG-T,29840,Manual,Grey,5 door SUV,1.2L,Nissan,5.0
Kuga,10750,1.5L Zetec EcoBoost T,69580,Manual,Black,5 door SUV,1.5L,Ford,5.0
2008,10700,1.2L Allure PureTech,29502,Manual,Red,5 door SUV,1.2L,Peugeot,5.0
Corsa,10700,1.4L Limited Edition ecoTEC i,5689,Manual,White,3 door Hatchback,1.4L,Vauxhall,4.0
Insignia,10700,1.6L SRi VX Line Nav CDTi,57806,Manual,White,5 door Estate,1.6L,Vauxhall,6.0
1 Series,10700,1.5L ED Plus 116d,50234,Manual,White,5 door Hatchback,1.5L,BMW,7.0
AYGO,10700,1L x-play VVT-i,30424,Automatic,Red,5 door Hatchback,1L,Toyota,4.0
Juke,10700,1.2L N-Connecta DIG-T,34189,Manual,White,5 door SUV,1.2L,Nissan,5.0
C3,10700,1.2L Flair PureTech,19112,Manual,Red,5 door Hatchback,1.2L,Citroen,4.0
Vitara,10700,1.6L SZ-T,36369,Manual,Grey,5 door SUV,1.6L,Suzuki,6.0
Focus,10700,1.5L Titanium TDCi,61081,Manual,White,5 door Estate,1.5L,Ford,5.0
MG3,10700,1.5L Excite VTi-TECH,7869,Manual,White,5 door Hatchback,1.5L,MG,2.0
C4 Cactus,10700,1.2L Flair PureTech,37508,Manual,Blue,5 door Hatchback,1.2L,Citroen,4.0
Hatch,10700,1.5L Cooper,48315,Manual,White,5 door Hatchback,1.5L,Mini,6.0
up!,10700,1L High up!,4344,Manual,Red,3 door Hatchback,1L,Volkswagen,3.0
Corsa,10700,1.4L Energy i,15479,Manual,Red,5 door Hatchback,1.4L,Vauxhall,3.0
Polo,10700,1.2L Match BlueMotion Tech TSI,28501,Manual,White,5 door Hatchback,1.2L,Volkswagen,6.0
Fiesta,10700,1L ST-Line EcoBoost T,34615,Manual,Blue,5 door Hatchback,1L,Ford,5.0
Polo,10700,1L Match Edition BlueMotion Tech,16050,Manual,Grey,3 door Hatchback,1L,Volkswagen,5.0
Mokka,10700,1.6L SE CDTi,31776,Automatic,Red,5 door SUV,1.6L,Vauxhall,6.0
Polo,10700,1L Match,16918,Manual,White,5 door Hatchback,1L,Volkswagen,6.0
Juke,10700,1.2L N-Connecta DIG-T,19386,Manual,Blue,5 door SUV,1.2L,Nissan,5.0
Fiesta,10700,1.1L Zetec Ti-VCT,18957,Manual,Red,5 door Hatchback,1.1L,Ford,4.0
Focus,10700,1.5L Titanium EcoBlue,88699,Manual,Black,5 door Hatchback,1.5L,Ford,3.0
Mokka,10700,1.6L SE CDTi,33961,Automatic,Silver,5 door SUV,1.6L,Vauxhall,6.0
MG ZS,10700,1.5L Excite VTi-TECH,34441,Manual,Orange,5 door SUV,1.5L,MG,4.0
Fabia,10650,1.2L Monte Carlo TSI,33157,Manual,Red,5 door Hatchback,1.2L,Skoda,6.0
Clio,10650,1.5L Signature Nav dCi,21714,Manual,Grey,5 door Hatchback,1.5L,Renault,5.0
i20,10650,1.2L GO! SE,44828,Manual,Black,5 door Hatchback,1.2L,Hyundai,4.0
Mokka,10650,1.4L SE i Turbo,56918,Automatic,Red,5 door SUV,1.4L,Vauxhall,6.0
Astra,10650,1.6L Excite i,4183,Manual,Blue,5 door Hatchback,1.6L,Vauxhall,7.0
Fiesta,10650,1L Titanium X EcoBoost T,50206,Manual,Black,5 door Hatchback,1L,Ford,5.0
C-Max,10650,1.5L Zetec TDCi,39305,Automatic,Blue,5 door MPV,1.5L,Ford,6.0
AYGO,10650,1L x-play VVT-i,4980,Manual,Silver,5 door Hatchback,1L,Toyota,2.0
Juke,10650,1.2L N-Connecta DIG-T,27489,Manual,Silver,5 door SUV,1.2L,Nissan,5.0
595,10650,1.4L T-Jet,32959,Manual,White,3 door Hatchback,1.4L,Abarth,6.0
Mokka X,10650,1.6L Active i,20979,Manual,Orange,5 door SUV,1.6L,Vauxhall,5.0
Mokka X,10650,1.6L Active i,21350,Manual,Grey,5 door SUV,1.6L,Vauxhall,5.0
Corsa,10650,1.4L SRi VX Line Nav Black ecoTEC i,30500,Manual,Black,5 door Hatchback,1.4L,Vauxhall,3.0
Tivoli,10650,1.6L ELX e-XGi,11600,Manual,Red,5 door SUV,1.6L,Ssangyong,5.0
Fiesta,10650,1L Zetec EcoBoost T,37711,Manual,Blue,5 door Hatchback,1L,Ford,4.0
Polo,10650,1.2L R-Line BlueMotion Tech TSI,48431,Manual,White,3 door Hatchback,1.2L,Volkswagen,6.0
3008,10650,1.6L Allure BlueHDi,57295,Automatic,Grey,5 door SUV,1.6L,Peugeot,6.0
Astra,10650,1.4L SRi i Turbo,25169,Manual,Grey,5 door Hatchback,1.4L,Vauxhall,5.0
Fiesta,10650,1L Titanium EcoBoost T,58570,Manual,White,5 door Hatchback,1L,Ford,3.0
A3,10650,1.6L SE Technik ultra TDI,64349,Manual,Black,5 door Hatchback,1.6L,Audi,7.0
Qashqai,10650,1.2L Acenta DIG-T,37808,Manual,Grey,5 door SUV,1.2L,Nissan,6.0
Jazz,10650,1.3L S i-VTEC,26077,Manual,Orange,5 door Hatchback,1.3L,Honda,3.0
Polo,10650,1.2L Match Edition TSI,39073,Manual,Red,5 door Hatchback,1.2L,Volkswagen,5.0
Juke,10650,1.2L Tekna DIG-T,20087,Manual,Silver,5 door SUV,1.2L,Nissan,6.0
Corsa,10650,1.4L Griffin ecoTEC i,9751,Manual,Blue,5 door Hatchback,1.4L,Vauxhall,3.0
Juke,10650,1.6L Nismo RS DIG-T,50625,Manual,White,5 door SUV,1.6L,Nissan,6.0
Hatch,10650,1.2L One,27399,Manual,Black,5 door Hatchback,1.2L,Mini,6.0
A1,10650,1.4L S line CoD TFSI,62403,Manual,Black,5 door Hatchback,1.4L,Audi,7.0
Clio,10600,0.9L Urban Nav TCe,17778,Manual,Grey,5 door Hatchback,0.9L,Renault,4.0
Grand C-Max,10600,1.5L Zetec TDCi,55615,Manual,Red,5 door MPV,1.5L,Ford,6.0
5008,10600,1.6L Allure BlueHDi,57240,Manual,Grey,5 door MPV,1.6L,Peugeot,7.0
Focus,10600,1L Titanium EcoBoost T,45453,Manual,Blue,5 door Hatchback,1L,Ford,5.0
Juke,10600,1.5L Tekna dCi,43130,Manual,White,5 door SUV,1.5L,Nissan,5.0
Polo,10600,1L beats,39802,Manual,White,5 door Hatchback,1L,Volkswagen,5.0
Jazz,10600,1.3L SE i-VTEC,18955,Manual,White,5 door Hatchback,1.3L,Honda,5.0
Focus,10600,1L ST-Line EcoBoost T,58997,Manual,White,5 door Hatchback,1L,Ford,5.0
C4,10600,1.6L Flair BlueHDi,21107,Manual,Red,5 door Hatchback,1.6L,Citroen,5.0
Juke,10600,1.6L Visia,16521,Manual,Red,5 door SUV,1.6L,Nissan,3.0
Juke,10600,1.5L N-Connecta dCi,36117,Manual,Black,5 door SUV,1.5L,Nissan,4.0
Fiesta,10600,1L ST-Line EcoBoost T,33911,Manual,Blue,5 door Hatchback,1L,Ford,6.0
Hatch,10600,1.5L Cooper D,43336,Manual,Blue,5 door Hatchback,1.5L,Mini,5.0
Focus,10600,1L ST-Line EcoBoost T,60858,Manual,Silver,5 door Hatchback,1L,Ford,4.0
Pulsar,10600,1.2L N-Connecta DIG-T,23247,Manual,Red,5 door Hatchback,1.2L,Nissan,4.0
Insignia,10600,1.6L SRi VX Line Nav CDTi,46067,Manual,Black,5 door Hatchback,1.6L,Vauxhall,6.0
fortwo,10600,1L Urbanshadow,23618,Automatic,Black,2 door Coupe,1L,Smart,3.0
108,10600,1L Collection,8124,Manual,Green,5 door Hatchback,1L,Peugeot,2.0
Clio,10600,0.9L GT Line TCe,21645,Manual,Black,5 door Hatchback,0.9L,Renault,3.0
Pulsar,10600,1.2L Tekna DIG-T,14249,Manual,Red,5 door Hatchback,1.2L,Nissan,5.0
Juke,10600,1.2L Tekna DIG-T,38613,Manual,White,5 door SUV,1.2L,Nissan,5.0
Fiesta,10600,1L Titanium EcoBoost T,14162,Manual,Grey,5 door Hatchback,1L,Ford,6.0
Focus,10600,1L Zetec Edition EcoBoost T,26009,Manual,Grey,5 door Hatchback,1L,Ford,5.0
Corsa,10600,1.4L Energy i,9166,Manual,Blue,5 door Hatchback,1.4L,Vauxhall,3.0
i40,10600,1.7L Premium Blue Drive CRDi,58716,Manual,Silver,5 door Estate,1.7L,Hyundai,6.0
Corsa,10550,1.4L SRi VX Line Nav Black ecoTEC i,21050,Manual,Black,5 door Hatchback,1.4L,Vauxhall,4.0
DS 3,10550,1.2L Performance Line PureTech,29299,Manual,White,3 door Hatchback,1.2L,DS,4.0
Corsa,10550,1.4L Design ecoTEC i,8799,Manual,Red,5 door Hatchback,1.4L,Vauxhall,4.0
208,10550,1.2L Tech Edition PureTech,25713,Manual,Black,5 door Hatchback,1.2L,Peugeot,3.0
C3,10550,1.2L Feel PureTech,19364,Manual,Green,5 door Hatchback,1.2L,Citroen,3.0
C3 Aircross,10550,1.2L Feel PureTech,23602,Manual,Blue,5 door SUV,1.2L,Citroen,4.0
Clio,10550,1.5L Dynamique S Nav dCi,57222,Automatic,White,5 door Hatchback,1.5L,Renault,4.0
Ibiza,10550,1L SE Technology TSI,48620,Manual,Black,5 door Hatchback,1L,Seat,4.0
500,10550,1.2L 120th,14256,Manual,Grey,3 door Hatchback,1.2L,Fiat,3.0
C-Max,10550,1.5L Zetec ECOnetic TDCi,30187,Manual,Red,5 door MPV,1.5L,Ford,6.0
Corsa,10550,1.6L VXR i Turbo,40270,Manual,Blue,3 door Hatchback,1.6L,Vauxhall,6.0
Hatch,10550,1.5L Cooper,37580,Manual,Blue,3 door Hatchback,1.5L,Mini,7.0
Hatch,10550,1.5L Cooper,54846,Manual,White,5 door Hatchback,1.5L,Mini,5.0
Hatch,10550,1.5L Cooper,28809,Manual,Blue,3 door Hatchback,1.5L,Mini,6.0
Ceed,10550,1.6L GT-Line CRDi,58832,Manual,Red,5 door Hatchback,1.6L,Kia,5.0
Fiesta,10550,1L ST-Line EcoBoost T,20053,Manual,White,3 door Hatchback,1L,Ford,6.0
Corsa,10550,1.4L SRi VX Line Nav Black ecoTEC i,22773,Manual,Silver,5 door Hatchback,1.4L,Vauxhall,3.0
C4 Cactus,10550,1.2L Feel PureTech,25366,Manual,Black,5 door Hatchback,1.2L,Citroen,3.0
Fiesta,10550,1.5L ST-Line TDCi,30214,Manual,Silver,5 door Hatchback,1.5L,Ford,6.0
Fiesta,10550,1L Titanium EcoBoost T,11926,Manual,Other,5 door Hatchback,1L,Ford,6.0
Corsa,10550,1.4L SRi VX Line Nav Black ecoTEC i,20140,Manual,Grey,5 door Hatchback,1.4L,Vauxhall,3.0
Astra,10550,1.4L SRi i,8831,Manual,Silver,5 door Hatchback,1.4L,Vauxhall,5.0
500C,10550,1.2L Collezione,35906,Manual,Other,3 door Convertible,1.2L,Fiat,3.0
C3,10550,1.2L Flair PureTech,10687,Manual,Orange,5 door Hatchback,1.2L,Citroen,4.0
Tipo,10550,1.4L S-Design T-Jet,19502,Manual,White,5 door Hatchback,1.4L,Fiat,4.0
Fiesta,10500,1.1L Zetec Ti-VCT,35680,Manual,Black,5 door Hatchback,1.1L,Ford,4.0
Focus,10500,1L Titanium EcoBoost T,51331,Manual,Grey,5 door Hatchback,1L,Ford,4.0
C-Max,10500,1.5L Zetec TDCi,43650,Manual,Black,5 door MPV,1.5L,Ford,4.0
Focus,10500,1L Zetec S EcoBoost T,29948,Manual,Red,5 door Hatchback,1L,Ford,7.0
Juke,10500,1.2L N-Connecta DIG-T,32754,Manual,Silver,5 door SUV,1.2L,Nissan,5.0
Swift,10500,1L SZ5 Boosterjet,38325,Manual,Black,5 door Hatchback,1L,Suzuki,3.0
Fiesta,10500,1L Titanium EcoBoost T,62707,Manual,Black,5 door Hatchback,1L,Ford,3.0
500,10500,1.2L Star,23412,Manual,Other,3 door Hatchback,1.2L,Fiat,3.0
AYGO,10500,1L x-trend VVT-i,9924,Manual,Red,5 door Hatchback,1L,Toyota,3.0
500,10500,1.2L Collezione Fall,4382,Manual,White,3 door Hatchback,1.2L,Fiat,3.0
Picanto,10500,1.2L GT-Line S,37194,Manual,Silver,5 door Hatchback,1.2L,Kia,4.0
Juke,10500,1.2L N-Connecta DIG-T,34166,Manual,White,5 door SUV,1.2L,Nissan,5.0
Mokka X,10500,1.6L Elite i,22313,Manual,White,5 door SUV,1.6L,Vauxhall,6.0
Golf,10500,1.6L Match BlueMotion Tech TDI,43523,Manual,Red,5 door Hatchback,1.6L,Volkswagen,7.0
Fiesta,10500,1L Titanium EcoBoost T,43315,Manual,Blue,5 door Hatchback,1L,Ford,4.0
C-Max,10500,2L Titanium TDCi,33139,Automatic,White,5 door MPV,2L,Ford,7.0
Fiesta,10500,1L Titanium X EcoBoost T,32962,Manual,Red,5 door Hatchback,1L,Ford,5.0
Corsa,10500,1.4L SRi VX Line Nav Black ecoTEC i,12479,Manual,Grey,5 door Hatchback,1.4L,Vauxhall,3.0
308,10500,1.2L GT Line PureTech,45430,Manual,Blue,5 door Hatchback,1.2L,Peugeot,5.0
Fiesta,10450,1L ST-Line EcoBoost T,45950,Manual,Red,5 door Hatchback,1L,Ford,5.0
Leon,10450,1.6L SE TDI,35188,Manual,Silver,5 door Hatchback,1.6L,Seat,6.0
Micra,10450,1.2L n-tec,27154,Automatic,Black,5 door Hatchback,1.2L,Nissan,5.0
Ignis,10450,1.2L SZ-T Dualjet,24020,Manual,White,5 door Hatchback,1.2L,Suzuki,4.0
up!,10450,1L Move up!,12810,Manual,Red,5 door Hatchback,1L,Volkswagen,3.0
Micra,10450,0.9L Acenta IG-T,18597,Manual,Red,5 door Hatchback,0.9L,Nissan,4.0
Astra,10450,1.4L Elite Nav i Turbo,37799,Manual,Silver,5 door Hatchback,1.4L,Vauxhall,6.0
108,10450,1L Collection,8497,Manual,Black,5 door Hatchback,1L,Peugeot,2.0
Fiesta,10450,1L Titanium EcoBoost T,66598,Manual,Black,5 door Hatchback,1L,Ford,3.0
Juke,10450,1.2L Acenta DIG-T,30978,Manual,Red,5 door SUV,1.2L,Nissan,4.0
Corsa,10450,1.4L Energy i,25103,Manual,Blue,5 door Hatchback,1.4L,Vauxhall,3.0
Polo,10450,1L Match BlueMotion Tech,24600,Manual,White,3 door Hatchback,1L,Volkswagen,6.0
AYGO,10450,1L x-play VVT-i,6000,Manual,Silver,5 door Hatchback,1L,Toyota,2.0
208,10450,1.2L Tech Edition PureTech,23598,Manual,Black,5 door Hatchback,1.2L,Peugeot,3.0
208,10450,1.5L Tech Edition BlueHDi,34537,Manual,Black,5 door Hatchback,1.5L,Peugeot,3.0
fortwo,10450,0.9L Prime T,19464,Automatic,White,2 door Coupe,0.9L,Smart,5.0
Juke,10450,1.2L N-Connecta DIG-T,28195,Manual,White,5 door SUV,1.2L,Nissan,5.0
Mokka X,10450,1.6L Elite ecoTEC D CDTi,67159,Manual,Silver,5 door SUV,1.6L,Vauxhall,4.0
Focus,10450,1L Titanium EcoBoost T,40408,Manual,Blue,5 door Hatchback,1L,Ford,5.0
Hatch,10450,1.5L One D,23090,Manual,Blue,3 door Hatchback,1.5L,Mini,6.0
Polo,10400,1.2L Match BlueMotion Tech TSI,47104,Manual,Grey,5 door Hatchback,1.2L,Volkswagen,6.0
Corsa,10400,1.4L SE ecoTEC i,18746,Manual,Blue,5 door Hatchback,1.4L,Vauxhall,5.0
Sandero,10400,0.9L Comfort TCe,5545,Manual,Blue,5 door Hatchback,0.9L,Dacia,2.0
AYGO,10400,1L x-trend VVT-i,22707,Manual,Silver,5 door Hatchback,1L,Toyota,3.0
Juke,10400,1.2L N-Connecta DIG-T,25888,Manual,White,5 door SUV,1.2L,Nissan,6.0
fortwo,10400,0.9L Prime T,15906,Automatic,White,2 door Coupe,0.9L,Smart,5.0
Juke,10400,1.2L Tekna DIG-T,42129,Manual,Black,5 door SUV,1.2L,Nissan,5.0
Focus,10400,1L Titanium EcoBoost T,50790,Manual,White,5 door Hatchback,1L,Ford,5.0
Juke,10400,1.5L Tekna dCi,44501,Manual,White,5 door SUV,1.5L,Nissan,5.0
Juke,10400,1.2L N-Connecta DIG-T,35561,Manual,Grey,5 door SUV,1.2L,Nissan,5.0
forfour,10400,0.9L Prime T,21447,Automatic,Black,5 door Hatchback,0.9L,Smart,5.0
Hatch,10400,1.2L One,39857,Manual,White,5 door Hatchback,1.2L,Mini,6.0
Giulietta,10400,1.4L QV Line MultiAir TB,66264,Manual,White,5 door Hatchback,1.4L,Alfa Romeo,6.0
EcoSport,10400,1L Zetec EcoBoost T,59631,Manual,Orange,5 door SUV,1L,Ford,3.0
Kuga,10400,2L Titanium TDCi,57828,Manual,Grey,5 door SUV,2L,Ford,7.0
Swift,10400,1L SZ5 Boosterjet,20227,Manual,Red,5 door Hatchback,1L,Suzuki,4.0
Fiesta,10400,1.1L Zetec Ti-VCT,18339,Manual,Blue,5 door Hatchback,1.1L,Ford,5.0
C-Max,10400,1.6L Zetec Ti-VCT,16204,Manual,Grey,5 door MPV,1.6L,Ford,6.0
Mokka X,10400,1.4L Active ecoTEC i Turbo,23505,Manual,Orange,5 door SUV,1.4L,Vauxhall,4.0
Polo,10400,1L Match BlueMotion Tech,9626,Manual,Silver,5 door Hatchback,1L,Volkswagen,6.0
Ka+,10400,1.2L Active Ti-VCT,13962,Manual,Black,5 door Hatchback,1.2L,Ford,3.0
Hatch,10350,1.5L Cooper D,59768,Manual,Red,5 door Hatchback,1.5L,Mini,5.0
Insignia,10350,2L SRi Nav ecoFLEX CDTi,47614,Manual,Black,5 door Estate,2L,Vauxhall,6.0
i10,10350,1.2L Premium,14090,Automatic,Blue,5 door Hatchback,1.2L,Hyundai,7.0
Duster,10350,1.6L Essential SCe,27227,Manual,Blue,5 door SUV,1.6L,Dacia,3.0
Ka+,10350,1.2L Zetec Ti-VCT,9606,Manual,White,5 door Hatchback,1.2L,Ford,3.0
Astra,10350,1.4L Elite Nav i Turbo,44037,Manual,Red,5 door Hatchback,1.4L,Vauxhall,5.0
Hatch,10350,1.5L Cooper,55776,Manual,Blue,5 door Hatchback,1.5L,Mini,6.0
EcoSport,10350,1L Zetec EcoBoost T,18044,Manual,Silver,5 door SUV,1L,Ford,5.0
Fiesta,10350,1L Titanium EcoBoost T,17324,Manual,Silver,5 door Hatchback,1L,Ford,6.0
i10,10350,1.2L SE,28890,Automatic,White,5 door Hatchback,1.2L,Hyundai,4.0
Polo,10350,1.2L Match BlueMotion Tech TSI,22771,Manual,Silver,3 door Hatchback,1.2L,Volkswagen,6.0
Tivoli,10350,EX e-XGi,20944,Automatic,Grey,5 door SUV,1.6L,Ssangyong,5.0
Clio,10350,0.9L Iconic TCe,18235,Manual,Black,5 door Hatchback,0.9L,Renault,3.0
Corsa,10350,1.4L SE i,27066,Automatic,Silver,5 door Hatchback,1.4L,Vauxhall,6.0
Juke,10350,1.2L Tekna DIG-T,24150,Manual,White,5 door SUV,1.2L,Nissan,6.0
Hatch,10350,1.5L Cooper D,38237,Manual,Blue,5 door Hatchback,1.5L,Mini,5.0
C-Max,10350,1.6L Zetec Ti-VCT,18385,Manual,Blue,5 door MPV,1.6L,Ford,5.0
Corsa,10350,1.4L SRi VX Line Nav Black ecoTEC i,25916,Manual,Black,5 door Hatchback,1.4L,Vauxhall,3.0
AYGO,10300,1L x-plore VVT-i,19417,Manual,Blue,5 door Hatchback,1L,Toyota,3.0
C3,10300,1.2L Feel PureTech,15860,Manual,Grey,5 door Hatchback,1.2L,Citroen,4.0
Clio,10300,0.9L GT Line TCe,38826,Manual,Red,5 door Hatchback,0.9L,Renault,3.0
TUCSON,10300,1.7L SE Blue Drive CRDi,59438,Manual,Black,5 door SUV,1.7L,Hyundai,7.0
Ka+,10300,1.2L Zetec Ti-VCT,23728,Manual,Blue,5 door Hatchback,1.2L,Ford,3.0
Mokka X,10300,1.6L Elite i,31323,Manual,White,5 door SUV,1.6L,Vauxhall,6.0
AYGO,10300,1L x-clusiv VVT-i,7697,Manual,Grey,5 door Hatchback,1L,Toyota,6.0
Focus,10300,1L Titanium EcoBoost T,49537,Manual,White,5 door Hatchback,1L,Ford,5.0
Polo,10300,1.2L Match BlueMotion Tech TSI,27423,Manual,White,3 door Hatchback,1.2L,Volkswagen,6.0
Focus,10300,1L Zetec EcoBoost T,22326,Manual,Silver,5 door Hatchback,1L,Ford,6.0
C3,10300,1.2L Flair PureTech,21345,Manual,White,5 door Hatchback,1.2L,Citroen,4.0
Qashqai,10300,1.5L N-Vision dCi,81832,Manual,Blue,5 door SUV,1.5L,Nissan,5.0
Fiesta,10300,1L Titanium EcoBoost T,26354,Manual,Blue,5 door Hatchback,1L,Ford,5.0
TUCSON,10300,1.7L SE Nav Blue Drive CRDi,91760,Manual,Blue,5 door SUV,1.7L,Hyundai,5.0
Corsa,10300,1.4L SRi VX Line Nav Black ecoTEC i,30025,Manual,Black,5 door Hatchback,1.4L,Vauxhall,3.0
A3,10300,1.6L Sport TDI,62697,Manual,Blue,5 door Hatchback,1.6L,Audi,7.0
Juke,10300,1.2L Tekna DIG-T,29858,Manual,Red,5 door SUV,1.2L,Nissan,5.0
Mazda6,10300,2.2L SE Nav SKYACTIV-D,61222,Manual,White,4 door Saloon,2.2L,Mazda,5.0
Juke,10300,1.2L Acenta DIG-T,20498,Manual,Grey,5 door SUV,1.2L,Nissan,4.0
Ka+,10300,1.2L Active Ti-VCT,22203,Manual,Other,5 door Hatchback,1.2L,Ford,3.0
Jazz,10300,1.3L S i-VTEC,28024,Manual,Orange,5 door Hatchback,1.3L,Honda,4.0
Picanto,10300,1.2L 3,25969,Manual,White,5 door Hatchback,1.2L,Kia,3.0
Fiesta,10300,1L Zetec EcoBoost T,14886,Manual,Red,3 door Hatchback,1L,Ford,4.0
